method,epoch,lambda2,resistance,logtau,union_edges,union_max_degree,snap_max_degree
game,0,0.0,inf,1015.6087937011835,2256,4,4
game,1,0.05992142620770971,770141.78020528,2451.5219481163444,4344,7,4
game,2,0.09865442640476976,475689.2618253675,3057.156182143378,6096,10,4
game,3,0.12864541847812538,381327.51423442375,3354.3191734005227,7248,12,4
game,4,0.15810633432848833,326097.3366762206,3575.267969618685,8256,14,4
game,5,0.1936221703462805,293633.40241687634,3725.1969614799696,9048,15,4
game,6,0.21235837435447702,277276.06186321715,3807.3959026287816,9504,16,4
furthest,0,0.059914635209564276,1733357.42672689,1360.28591885794,2495,4,4
furthest,1,0.09080899102981037,1353509.0738160852,1618.7464442918128,2825,6,4
furthest,2,0.0987352934606674,1161889.3736455573,1815.1724933668825,3138,7,4
furthest,3,0.11675180666246888,972147.4703308239,2040.8091797317516,3554,8,4
furthest,4,0.12272146255984834,882174.4415441011,2195.7562680774186,3896,9,4
furthest,5,0.13337229544276497,806546.2694675373,2332.839629184188,4218,10,4
furthest,6,0.13610089612441498,775719.0446349771,2397.549922074904,4383,10,4
centralized,0,0.000699364866164143,6456398.443154489,1134.4955326199856,2289,4,4
centralized,1,0.046410797019612864,724072.9413878008,2465.8243428422024,4377,8,4
centralized,2,0.08654717450373317,454412.6974259952,3110.9193064125243,6328,12,4
centralized,3,0.12351648006158417,341202.64152642014,3522.672370990617,8060,15,4
centralized,4,0.15716387603174303,278041.46960977546,3818.5717875984233,9589,16,4
centralized,5,0.19270914457907484,238454.24862730884,4040.7749264093454,10935,19,4
centralized,6,0.21935835612799648,212609.7732587185,4211.516483367873,12115,21,3
