method,epoch,lambda2,resistance,edges,max_degree
game,0,0.0,inf,1992,4
game,1,0.0,inf,1056,3
game,2,0.0,inf,1296,4
game,3,0.0,inf,1128,3
game,4,0.0,inf,1008,3
game,5,0.0,inf,1056,3
game,6,0.0,inf,1128,3
furthest,0,0.009262028399032875,2152150.6862937184,2490,4
furthest,1,0.048420323885730324,1507374.9460551313,2611,4
furthest,2,0.0606676901820084,1476487.7082305804,2623,4
furthest,3,0.012385059995573346,1632227.103068644,2618,4
furthest,4,0.07618905632893347,1487978.8667061378,2634,4
furthest,5,0.009149784639412508,1715383.3459069584,2606,4
furthest,6,0.06297570366639606,1536994.4937066983,2604,4
