method,epoch,lambda2,resistance,edges,max_degree
game,0,0.0,inf,2256,4
game,1,0.032989495300300056,2203843.3913267497,2352,4
game,2,0.0,inf,2352,4
game,3,0.0,inf,2304,4
game,4,0.0,inf,2400,4
game,5,0.0,inf,2472,4
game,6,0.007626653269877252,2351170.337744157,2496,4
furthest,0,0.009262028399033437,2152150.6862937184,2490,4
furthest,1,0.04842032388573036,1507374.9460551313,2611,4
furthest,2,0.06066769018200839,1476487.7082305804,2623,4
furthest,3,0.012385059995573386,1632227.103068644,2618,4
furthest,4,0.07618905632893345,1487978.8667061378,2634,4
furthest,5,0.009149784639412463,1715383.3459069584,2606,4
furthest,6,0.06297570366639603,1536994.4937066983,2604,4
